"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"River Sindh, BadonKalan-Datia-Madhya Pradesh, 29.01.2022","N/A","29-01-2022 18:30:00","Serial Number,Latitude,Longitude
1, 25.796674, 78.347624
","Yes","Tractors","-Sand mining ear Badonkalan is taking place in huge amounts. This location is close to Goraghat-Dabra highway

- We were waiting near highway looking for a lift, and saw many tractors pass by - some of which were empty and some with sand

- Most tractors did not give us lift

- Finally sat in a tractor to go near River Sindh from BadonKalan village

- On the way, at one place, the tractor stopped, and the driver went to a cabin / house like structure and came back

- Many tractors were stopping on the way at this point from both ways

- Alluvial ravines on both sides

- After a point there was a bifurcation in road, one led to the BadonKalan village, but the tractor took the other route which went deeper in the alluvial ravines and it was a Kaccha road, it was a difficult route from within the ravine slopes. On this route only the people involved in sand and morram mining were seen.

- It was suspicious and scary and we decided to get down from the tractor before even reaching the river and walked all the way back. We were also unsure of the connectivity to walk further, as many locals had warned us it might be difficult to go further from that point.

- In google maps, this point on river shows mining over the years, some temporary sand bridges (pipa puls), trucks, tracks on sand, temporary sand bunds, changing river flow, disappearing sand formations, algae formation

- Datia DSR 2022 mentions 3 mining sites in BadonKalan (BadonKalan - D, A, E - of areas 23, 23, 24.094 Ha respectively)

- Comparing Datia DSR 2022 and other DSRs of districts from which River Sindh flows, we found that BadonKalan is the biggest mining site on River Sindh. 

(Observations by Rahul Singh and Aishani Goswami)","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_135535_c6298c94-c39d-4ef0-a103-2037e3b5a46b.jpeg?generation=1705638887146328&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_135638_4af0260b-1d6a-4b10-a09c-bdf8e7600632.jpeg?generation=1705638889472870&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_135647_9850a7ef-6e1c-4366-9756-e9ad509a00f3.jpeg?generation=1705638891080191&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_135659_a6e6161a-9f67-46d2-aba0-1e2d3a4dd4e4.jpeg?generation=1705638892679944&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_135717_d117b72f-31bc-4e97-9350-a1a7c50c6915.jpeg?generation=1705638894887230&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_135922_d1e1970c-6ad4-4907-a1cc-c1183bffa456.jpeg?generation=1705638896467828&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220129_140032_99317aaa-0969-49a8-85df-1b7b09c63e7d.jpeg?generation=1705638897960258&alt=media","Madhya Pradesh","Datia","Sindh","23-01-2024"
"River Sindh, Tiletha-Datia-Madhya Pradesh, 28.01.2022","N/A","28-01-2022 18:30:00","Serial Number,Latitude,Longitude
1, 25.875422, 78.419653
","Yes","JCB, tractors, diesel pump (pandupi)","- Location is Tiletha village, Barsula panchayat, Indergadh tehsil, Datia district

- Tiletha village is now divvided into two - one settlement is near the river and many familiess from the village have shifted about 1.5 kms away, towards the main road.

- Saw significant sand mining on the other side of the river (Left bank)

- Saw pandupi, JCB on other side of river - 1 photo

- Pandupi - boat like setup with pipes and diesel pumps in the middle of the river pumping out sand and water from the river bed and deposits on to the bank. The water flows back to the river and the sand deposited on river bank is filled on tractors through JCBs

- Could hear loud machine noises

- Can see temporary connections / kachha bridge and tractor on it in Google earth

- Saw previous years google earth - more pandupi in upstream, more squiggly sand lines in river (June-Nov 2018), bunds and stagnant water deposits, disappearing sand deposit areas, changing river flow.

(observations by Rahul Singh and Aishani Goswami)","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220128_144014_1_8489f16c-656b-4fe7-839d-7abcaa929f3e.jpeg?generation=1705641151946979&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220128_144014_ff4f386d-77c2-40a0-8d45-5352b4f891b6.jpeg?generation=1705641153782743&alt=media","Madhya Pradesh","Datia","Sindh","19-01-2024"
"River Sindh, Laanch-Datia-Madhya Pradesh, 28.01.2022","N/A","28-01-2022 18:30:00","Serial Number,Latitude,Longitude
1, 25.923365, 78.472876
","Yes","JCB, pandupi (diesel pump)","- A concrete bridge was washed away in August 2021 floods near Laanch village

- Sand mining is happening hardly 300 meters upstream of the bridge (could see JCB and 'pandupi' in photo from across the bank, near the bridge)

- Pandupi - boat like setup with pipes and diesel pumps in the middle of the river pumping out sand and water from the river bed and deposits on to the bank. The water flows back to the river and the sand deposited on river bank is filled on tractors through JCBs

- We could hear the sounds of machines mining 300 meters away, across the bank

- The most immediate reason of the destruction of the bridge must have been floods and heavy rainfall. But sand mining very close to the bridge also must have created structural instability was an added threat. Mining so close to infrastructure like bridges also violates the guidelines of mining of minor minerals.

- In google earth, further upstream has even more pandupis, sand lines, sand heaps indicating more sand mining ( Jan-Nov 2021 - location - 25.906290,  78.465070)

(Observations by Rahul Sing and Aishani Goswami)","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220128_113458_f571fe79-88ae-455d-ac31-633b42f49da9.jpeg?generation=1705642510099139&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220128_114532_1_9cfca3b4-ecf6-4597-908e-29338be8bf1e.jpeg?generation=1705642510537173&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220128_114532_155362dc-704d-4df5-9acf-206435e1ba25.jpeg?generation=1705642512199527&alt=media","Madhya Pradesh","Datia","Sindh","23-01-2024"
"Ib River - Jharsuguda District, Odisha - 11th January 2024","N/A","11-01-2024 18:30:00","Serial Number,Latitude,Longitude
1,21.929645,84.013167
","Yes","Poclain machines, Trucks","Sand Mining is being conducted on a huge scale on the Ib River in Jharsuguda District of Odisha.


This case report has been created based on inputs provided by - 
https://twitter.com/inishamani
 - on twitter, with photos, videos and GPS points.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Friverib_110124_567a1089-dd61-4cc8-83fd-138268205fd7.jpeg?generation=1706070566765350&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fgdpmxvvagaauijf_48f4f596-0899-4ed8-b067-07cd6b29c1a9.jpeg?generation=1706069285355679&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fgdicfsuacaalkpn_439c0aab-7bc6-428a-bf05-bdfd091ad3d0.jpeg?generation=1706069264379436&alt=media","Odisha","Jharsuguda","Ib (Odisha)","24-01-2024"
"Mahi River - Khorwad, Anand District, Gujarat - 26.01.24","N/A","26-01-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.581877,73.151901
","Yes","Poclain Machines / Excavators, Trucks ","Observed from across the river. 


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Email 
sandwatch@veditum.org
 ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fb1eb1dec_2686_475b_a8e1_93a5325c0877_011fca1f-21cb-4e29-acfb-1d74a571661e.jpeg?generation=1706258093407187&alt=media","Gujarat","Anand","Mahi","26-01-2024"
"River Sindh, Dobhiyai-Seondha-Datia district MP, 25.01.2022","N/A","25-01-2022 18:30:00","Serial Number,Latitude,Longitude
, 26.107978, 78.688301
","No","N/A","- Location was close to Dobhiyai village very close to Sindh (village on lower elevation) and many houses destroyed during 2021 floods

- When we reached the river, no mining was taking place. But we could evidence of sand mining done in recent past.

- Heaps of sand visible

- Tractor / car / heavy vehicle marks seen on river bank soil

- The son of the local sarpanch told us - ""Right now there is a pause on sand mining"". So the fresh tyre marks indicated that mining might have happened during night.

- On way to the river saw JCB digging, tractor and car

- On river bank just adjacent saw a small temp tent - possibly of sand mining workers staying

- Small puddles in river surrounded by sand heaps - algae in river puddles

--------------------------------------------------------------------------------------------------------------------------------------------

Nearby location 1 -  26.101715,  78.695503

- Ravines on North side

- Saw JCB mining sand in ravine, and heaps of sand - nearby marked location

- saw tractors on this way


Nearby location 2 -  26.097884,  78.704293

- Huge heap of sand observed collected and deposited here, saw trucks as well

--------------------------------------------------------------------------------------------------------------------------------------------

- On the same day, while going from Khamrauli to Ratangarh temple, sand mining was taking place at many places on the 10-12 kilometer route. The tents of the people and their people were visible. We covered this forested path by bike. 

- Local villagers said that there is more illegal sand mining in this area than legal sand mining.

- Forest workers and local people near Ratangarh Mata Temple (few kms upstream of Dobhiyai) told that a lot of sand mining takes place here. A local hotel owner told that the bridge of Ratangarh broke due to sand mining.


(Observations by Rahul Singh and Aishani Goswami)","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100124_37c908ba-24ef-4064-a6e1-4595b74d4102.jpeg?generation=1707387671564547&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100226_8c656333-eab2-48bb-89a8-583edd17d012.jpeg?generation=1707387673940516&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100241_f57c35c1-8feb-4f27-a82f-3e1d1fbb23b3.jpeg?generation=1707387675853351&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100433_5f343613-b83b-475c-9161-5fa387d926f5.jpeg?generation=1707387677706942&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100914_1_d1501ff5-eb4f-4302-a4dd-88ae78f9cb10.jpeg?generation=1707387678126039&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100914_8659e601-c32d-48ac-9522-3fe32f9d4d88.jpeg?generation=1707387680827137&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_100920_3f9bd08f-b9f7-4658-9a9a-261dc8a895c0.jpeg?generation=1707387682386893&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_101158_6b6c3d3c-210b-4d2b-a90b-adc20f935596.jpeg?generation=1707387685330688&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_101232_ccdc30b8-5216-435e-8785-f409713b64c4.jpeg?generation=1707387687719609&alt=media","Madhya Pradesh","Datia","Sindh","08-02-2024"
"River Sindh, Khamroli-Datia-MP, 25.01.2022","N/A","25-01-2022 18:30:00","Serial Number,Latitude,Longitude
, 26.112930, 78.697848
","No","N/A","We did not see sand mining taking place, when we were at the location

- We saw concrete pipes across the river (pipa pul) which would have been used to modify river's flow (clear violation) to mine sand

- Near Khamroli village, Datia district

- Khamroli stated in Datia DSR, 2019

See old google earth images


(Observations by Rahul Singh and Aishani Goswami)","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_114913_d67c4a03-2194-45e5-a489-495e1ae61e4e.jpeg?generation=1707389236623172&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_115026_5cb4c7be-5af3-4dd7-8cf4-748e148f9a07.jpeg?generation=1707389238710870&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_115152_bcb98980-b59b-4f95-989d-64e7a3e4b1bf.jpeg?generation=1707389240912054&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_115311_1e92f22d-edb5-4cff-ab26-fa10824ac4c3.jpeg?generation=1707389244314902&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fp_20220125_115518_57c9a881-d6d2-4893-a1c9-148f71a9c0aa.jpeg?generation=1707389246399506&alt=media","Madhya Pradesh","Datia","Sindh","08-02-2024"
"Village Mandawar - Shamli District, UP, Yamuna River - Feb 2024","N/A","28-02-2024 18:30:00","Serial Number,Latitude,Longitude
1,29.455556,77.137222
","Yes","Trucks, Excavators (Poclain / JCB Machines)","Night mining activity was observed at this location by members of our community networks. This is in clear violation of laws that do not allow mining activity to take place after sunset.


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Email 

sandwatch@veditum.org","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fwhatsapp_image_2024_02_28_at_20_31d7090b-7447-4fa4-9b92-bafe8e60c5e2.jpeg?generation=1709147755245057&alt=media","Uttar Pradesh","Shamli","Yamuna","28-02-2024"
"Kangsabati River - Gopinathpur, Paschim Medinipur District, West Bengal - 06.03.24","N/A","01-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.434972,87.518083
","Yes","Many tractor trailers - tippers were seen carrying sand across the river.","This mining activity was observed from the bamboo bridge on the Kangsabati river. Right next to it a sand structure is visible, which is clearly blocking the flow of the river. On a preliminary study of the official documents and remote sensing information, it seems like there's clear overreach and illegality in terms of:


1. Volume of sand being extracted

2. Area being mined

3. Machinery being used

4. Blocking of river flow


This case report has been generated based on sightings of sand mining from the India Sand Watch and Veditum network. Have observations of sand mining in Indian rivers? Email 

sandwatch@veditum.org
","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2024_03_06_at_1_ea2e56c8-eb13-4d5c-8ee8-b04d8d20f4b2.jpeg?generation=1709711958124827&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2024_03_06_at_1_b7927732-35bb-449c-a2a9-f56b6324dc9c.jpeg?generation=1709711958814831&alt=media","West Bengal","Paschim Medinipur","Kangsabati","06-03-2024"
"Kangsabati","N/A","08-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.469,87.085
","Yes","Truck, Excavator","Observed 13 Trucks, 1 excavator. Active mining site. Hard to access site, so observed from a distance. Got chased out. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fkangsabati_2_9thmarch_2b37463e-178e-4ea1-9292-b250335740d1.jpeg?generation=1710145587260116&alt=media","West Bengal","Paschim Medinipur","Kangsabati","11-03-2024"
"Mining NW of Gopiballavpur Bridge","N/A","08-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.227230,86.896543
2,22.220177,86.902867
3,22.234056,86.892064
","Yes","Excavators (JCB), hundreds of trucks, possibly manual labor","These are probably spread out over multiple concessions. Most observations were taken from SH9 bridge (Gopiballavpur). Both sides of the bridge are heavily mined. This site was not mined close to the bridge on this date. This is actually in Jhargram district","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2024_03_11_at_1_770549d7-f578-4429-a5c8-252a5ff894e5.jpeg?generation=1710145632605877&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240309_054423855_b7810525-9948-4ec5-b9ac-19c29a5c3bdc.jpeg?generation=1710145620914776&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fpxl_20240309_054423855_5678cd91-e5e8-4897-8fea-9a577c2ebebe.jpeg?generation=1710145591589382&alt=media","West Bengal","Paschim Medinipur","Subarnarekha","11-03-2024"
"Gopiballavpur East of Bridge","N/A","09-03-2024 18:30:00","Serial Number,Latitude,Longitude
1,22.219909,86.910117
2,22.212904,86.905257
","Yes","Trucks, Excavators spotted. At least 6 excavators seen on the north east bank, 2-3 on the south east bank. ","Lots of mining on both North and South banks of the river. Spotted trucks, and multiple excavators on the river bed. On the North East bank (relative to the bridge), large stockpile/ depot with at least 100 trucks. On the South East bank, similar size depot/ stockpile. ","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fgbpur_se_bank2_016f06e6-4941-4d67-a1b5-6d7470b8bbbb.jpeg?generation=1710148266219181&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fgbpur_se_bank1_ff0525dc-5544-415d-9eec-eaf87e631f93.jpeg?generation=1710148230698380&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fgbpur_ne_bank1_ec958421-0153-43e6-b577-71897ba528b2.jpeg?generation=1710148199111070&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fnorth_east_bank_gbpur2_84a6ff37-1908-43a1-865f-eb4817e01adf.jpeg?generation=1710147990544442&alt=media
https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fnorth_east_bank_gbpur_d18d893e-a7c6-4a84-b191-9ffd08b65eb5.jpeg?generation=1710147879110084&alt=media","West Bengal","Paschim Medinipur","Subarnarekha","11-03-2024"
